Regulators	Regulation	Target Gene
AHL20	repressor	WBC19
PIF5	activator	WBC19
UNE10	activator	WBC19
BEE2	activator	WBC19
AGL42	repressor	WBC19
SPL7	repressor	WBC19
ATHB20	repressor	WBC19
ATHB-15	repressor	WBC19
ATHB-6	activator	WBC19
GATA8	repressor	WBC19
GATA15	activator	WBC19
DOF5.3	repressor	WBC19
DOF1.8	activator	WBC19
SCAP1	activator	WBC19
MYC4	activator	WBC19
HHO3	repressor	WBC19
WRKY40	repressor	WBC19
TGA1	activator	AHL20
ATHB20	activator	AHL20
DOF5.3	activator	AHL20
MYB52	activator	AHL20
ATHB-1	activator	AHL20
ATHB-16	activator	AHL20
ATHB-15	activator	AHL20
ATHB-6	repressor	AHL20
WRKY60	activator	AHL20
WRKY48	activator	AHL20
ATHB13	activator	AHL20
GATA8	activator	AHL20
WRKY2	repressor	AHL20
